Timestamp	Tracking number	DOI	Notification	Year	Journal	Title	Completed	Curator	Time required	Comments	Segmentation time	Tagging time	total images	total panels	annotated images	annotated panels	total tags										
12.19.2017 16:41:05	EMM-2017-08078	10.15252/emmm.201708078	19.12.17	2017	EMBO Molecular Medicine	Chimeric Pneumoviridae fusion proteins as immunogens to induce cross-neutralizing antibody responses	20.12.17	Emmanuel	2:30:00																		
12.21.2017 11:22:22	EMM-2017-07767	10.15252/emmm.201707767	21.12.17	2017	EMBO Molecular Medicine	Akt inhibition improves long-term tumour control following radiotherapy by altering the microenvironment	22.12.17	Emmanuel	4:30:00																		
12.21.2017 11:53:39	MSB-17-7796	10.15252/msb.20177796	21.12.17	2017	Molecular Systems Biology	A theory that predicts behaviors of disordered cytoskeletal networks	05.01.18	Emmanuel	0:00:20																		
12.21.2017 12:11:22	EMM-2017-07885	10.15252/emmm.201707885	21.12.17	2017	EMBO Molecular Medicine	Co-infection with chikungunya virus alters trafficking of pathogenic CD8+ T cells into the brain and prevents Plasmodium-induced neuropathology	10.01.18	Emmanuel	7:30:00																		
12.21.2017 17:43:18	EMBOJ-2017-97515	10.15252/embj.201797515	21.12.17	2017	EMBO Journal	Hierarchical protein targeting and secretion is controlled by an affinity switch in the type III secretion system of enteropathogenic Escherichia coli	10.01.18	Emmanuel	5:15:00																		
1.11.2018 9:49:30	EMBOR-2017-44524-T	10.15252/embr.201744524	11.01.18	2017	EMBO Reports	Metabolic stress regulates ERK activity by controlling KSR-RAF	11.01.18	Emmanuel	4:20:00																		
1.11.2018 15:29:25	EMBOR-2017-44523V1	10.15252/embr.201744523	11.01.18	2017	EMBO Reports	ROCK-dependent phosphorylation of NUP62 regulates p63 nuclear transport and squamous cell carcinoma proliferation	12.01.18	Emmanuel	4:05:00																		
1.11.2018 15:56:58	EMBOR-2017-44650-T	10.15252/embr.201744650	11.01.18	2017	EMBO Reports	Bacterial cyclic §-(1,2)-glucans sequester iron to protect against iron-induced toxicity	17.01.18	Emmanuel	4:05:00																		
1.11.2018 16:19:31	EMBOR-2017-44705V1	10.15252/embr.201744705	11.01.18	2017	EMBO Reports	The unique histidine in OSCP subunit of F-ATP synthase mediates inhibition of the permeability transition pore by acidic pH	14.01.18	Emmanuel	2:30:00																		
1.11.2018 17:02:32	EMBOR-2017-44777V1	10.15252/embr.201744777	11.01.18	2017	EMBO Reports	TRIP6 inhibits Hippo signaling in response to tension at adherens junctions	14.01.18	Emmanuel	3:20:00																		
1.11.2018 17:28:40	EMBOR-2017-44853-T	10.15252/embr.201744853	11.01.18	2017	EMBO Reports	The dynamic membrane recruitment of miRNA processing complexes in neurons controls dendritogenesis	14.01.18	Emmanuel	5:00:00																		
1.23.2018 10:41:59	EMBOJ-2017-96700	10.15252/embj.201796700	23.01.18	2017	EMBO Journal	Tumor suppressor Tsc1 is a new Hsp90 co-chaperone that facilitates folding of kinase and non-kinase clients.	24.01.18	Emmanuel	6:20:00																		
1.23.2018 11:28:41	EMM-2017-07838-V4	10.15252/emmm.201707838	23.01.18	2017	EMBO Molecular Medicine	Genomic Structural Variations Lead to Dysregulation of Important Coding and Non-Coding RNA Species in Dilated Cardiomyopathy	25.01.18	Emmanuel	2:45:00																		
1.23.2018 11:45:21	EMBOJ-2017-97876	10.15252/embj.201797876	23.01.18	2017	EMBO Journal	An invisible ubiquitin conformation is required for efficient phosphorylation by PINK1	25.01.18	Emmanuel	3:00:00																		
1.23.2018 14:55:36	EMM-2017-07825	10.15252/emmm.201707825	23.01.18	2017	EMBO Molecular Medicine	The diphenylpyrazol compound anle138b blocks Abeta channels and rescues disease phenotypes in a mouse model for amyloid pathology.	26.01.18	Emmanuel	2:30:00																		
